ref;value;footprint;Item count
B1..B3;BAT;;3
BZ1;BUZZER;;1
C1..C3;0.1u;;3
C4;4.7u;;1
C5;0.1u;CAP_0603;1
C6;0.1u;;1
C7;1u;;1
C8;10u;;1
C9;0.1u;;1
C10;10u;;1
C11;0.1u;CAP_0603;1
C12;10uF;CAP_0603;1
C13;1000u;;1
C14;0.1u;CAP_0603;1
C15;10u;CAP_0603;1
D1;LED_RAD;;1
DA1;NCP583SQ;~;1
DA2;MAX4453;;1
DD1;STM32F100C4;;1
F1;FUSE0R;~;1
HOLE1..HOLE3;HOLE_METALLED;;3
Q1;IRLMS6702;~;1
Q2;IRLMS1503;~;1
Q3;N_Ch_SOT23;~;1
Q4;IRLML9303;~;1
Q5;MMBT2222;;1
R1,R2;4K7;RES_0402;2
R3;150;RES_0402;1
R4,R5;390k;;2
R6;20k;RES_0603;1
R7,R8;1k;RES_0603;2
R9;1k;;1
R10;0.1R;RES_0805;1
SW1;SWITCH_H;~;1
SW2;BUTTON_H;~;1
XL1;CONN_3;~;1
XL2;ST_SWD;;1
XL3;CONN_4;;1
